method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
nsigma,incident,0.1,375,375,1.0,0.6284272300408029,0.6284272300408029,0.4976,0.4976,0.10576017863880692,0.10576017863880692,0.0010666666666666667
nsigma,incident,0.3,375,375,1.0,0.19638172582352661,0.19638172582352661,0.084,0.084,0.45435844366976674,0.45435844366976674,0.008
nsigma,incident,0.5,375,375,1.0,0.1568802536504819,0.1568802536504819,0.046933333333333334,0.046933333333333334,0.5163235567277641,0.5163235567277641,0.013066666666666667
nsigma,none,0.0,375,375,1.0,0.7606198412698412,0.7606198412698412,0.616,0.616,0.03169363197189283,0.03169363197189283,0.0
nsigma,point,0.1,375,375,1.0,0.760530683020683,0.760530683020683,0.6165333333333333,0.6165333333333333,0.03181069828722002,0.03181069828722002,0.0
nsigma,point,0.3,375,375,1.0,0.7616800574827519,0.7616800574827519,0.6181333333333333,0.6181333333333333,0.03157514273166446,0.03157514273166446,0.0
nsigma,point,0.5,375,375,1.0,0.761352508833895,0.761352508833895,0.6168,0.6168,0.0313386736934563,0.0313386736934563,0.0
nsigma,stream,0.1,375,375,1.0,0.756973685099074,0.756973685099074,0.6101333333333334,0.6101333333333334,0.03378510490258193,0.03378510490258193,0.0
nsigma,stream,0.3,375,375,0.9989333333333333,0.7330930053080649,0.7338063332147261,0.5834666666666667,0.5842074074074074,0.04683734300400558,0.045913886213882114,0.0010666666666666667
nsigma,stream,0.5,375,375,0.9893333333333333,0.6953207829417003,0.702598455495484,0.5458666666666666,0.5527978835978836,0.07281353659584414,0.06321130088674569,0.012
qarca,burst,0.1,375,375,1.0,0.8862423628545367,0.8862423628545367,0.8248,0.8248,0.025632690072076258,0.025632690072076258,0.010666666666666666
qarca,burst,0.3,375,375,1.0,0.8548237932591995,0.8548237932591995,0.7808,0.7808,0.035418742928001234,0.035418742928001234,0.010133333333333333
qarca,burst,0.5,375,375,1.0,0.6674191321523292,0.6674191321523292,0.4978666666666666,0.4978666666666666,0.06618114501886412,0.06618114501886412,0.011733333333333333
qarca,incident,0.1,375,375,1.0,0.8973104946904947,0.8973104946904947,0.8413333333333334,0.8413333333333334,0.014780042185480026,0.014780042185480026,0.0
qarca,incident,0.3,375,375,1.0,0.824787930107971,0.824787930107971,0.7325333333333333,0.7325333333333333,0.02621735592297747,0.02621735592297747,0.0
qarca,incident,0.5,375,375,1.0,0.7613155712091294,0.7613155712091294,0.6469333333333334,0.6469333333333334,0.038542113851311635,0.038542113851311635,0.0
qarca,none,0.0,375,375,1.0,0.8903600644122383,0.8903600644122383,0.8346666666666667,0.8346666666666667,0.02493017127799736,0.02493017127799736,0.010666666666666666
qarca,point,0.1,375,375,1.0,0.8911025635234331,0.8911025635234331,0.8351999999999999,0.8351999999999999,0.024729292929292924,0.024729292929292924,0.0104
qarca,point,0.3,375,375,1.0,0.8943724508020161,0.8943724508020161,0.8386666666666667,0.8386666666666667,0.02427448397013614,0.02427448397013614,0.010133333333333333
qarca,point,0.5,375,375,1.0,0.8990029813986335,0.8990029813986335,0.8450666666666666,0.8450666666666666,0.023398506807202457,0.023398506807202457,0.009333333333333334
qarca,stream,0.1,375,375,1.0,0.8853629126713014,0.8853629126713014,0.8245333333333333,0.8245333333333333,0.025503205972771188,0.025503205972771188,0.010133333333333333
qarca,stream,0.3,375,375,0.9989333333333333,0.8581595971424117,0.8589459599154413,0.7832,0.7839407407407407,0.03195390590462093,0.03095884417622587,0.008799999999999999
qarca,stream,0.5,375,375,0.9893333333333333,0.8213630706687409,0.829396682406797,0.7346666666666667,0.7426338624338624,0.04928412097634243,0.039978248997921434,0.0088
qarca_no_incident_train,burst,0.1,375,375,1.0,0.8860855527365502,0.8860855527365502,0.8256000000000001,0.8256000000000001,0.025770187811620035,0.025770187811620035,0.010666666666666666
qarca_no_incident_train,burst,0.3,375,375,1.0,0.8756527147096483,0.8756527147096483,0.808,0.808,0.026579797979797974,0.026579797979797974,0.010133333333333333
qarca_no_incident_train,burst,0.5,375,375,1.0,0.6936919681058111,0.6936919681058111,0.5349333333333334,0.5349333333333334,0.05379582588610792,0.05379582588610792,0.011733333333333333
qarca_no_incident_train,incident,0.1,375,375,1.0,0.7529589106410628,0.7529589106410628,0.6570666666666667,0.6570666666666667,0.04531388990950533,0.04531388990950533,0.0
qarca_no_incident_train,incident,0.3,375,375,1.0,0.41997055824933144,0.41997055824933144,0.248,0.248,0.14534644802943494,0.14534644802943494,0.0
qarca_no_incident_train,incident,0.5,375,375,1.0,0.3542435632425392,0.3542435632425392,0.16986666666666667,0.16986666666666667,0.1729422636603977,0.1729422636603977,0.0
qarca_no_incident_train,none,0.0,375,375,1.0,0.8915800074321812,0.8915800074321812,0.8373333333333334,0.8373333333333334,0.025389547650417215,0.025389547650417215,0.010666666666666666
qarca_no_incident_train,point,0.1,375,375,1.0,0.8915951235559931,0.8915951235559931,0.8357333333333333,0.8357333333333333,0.024889328063241106,0.024889328063241106,0.0104
qarca_no_incident_train,point,0.3,375,375,1.0,0.8920061903957556,0.8920061903957556,0.8354666666666667,0.8354666666666667,0.024640667545015368,0.024640667545015368,0.010133333333333333
