method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
qarca_no_quality_original,incident,0.3,375,375,1.0,0.327293767026235,0.327293767026235,0.1704,0.1704,0.19897722900548012,0.19897722900548012,0.0
qarca_no_quality_original,incident,0.5,375,375,1.0,0.27404194883480687,0.27404194883480687,0.10479999999999999,0.10479999999999999,0.2287520848181112,0.2287520848181112,0.0
qarca_no_quality_original,none,0.0,375,375,1.0,0.869435821987996,0.869435821987996,0.8026666666666666,0.8026666666666666,0.027721387790953,0.027721387790953,0.010666666666666666
qarca_no_quality_original,point,0.1,375,375,1.0,0.8699012178320874,0.8699012178320874,0.8032,0.8032,0.027187615283267453,0.027187615283267453,0.0104
qarca_no_quality_original,point,0.3,375,375,1.0,0.8717971195755084,0.8717971195755084,0.8056000000000001,0.8056000000000001,0.026708739569609133,0.026708739569609133,0.010133333333333333
qarca_no_quality_original,point,0.5,375,375,1.0,0.8746230857387378,0.8746230857387378,0.8096000000000001,0.8096000000000001,0.025568467281510753,0.025568467281510753,0.009333333333333334
qarca_no_quality_original,stream,0.1,375,375,1.0,0.861196468371022,0.861196468371022,0.7888000000000001,0.7888000000000001,0.029588528765920066,0.029588528765920066,0.010133333333333333
qarca_no_quality_original,stream,0.3,375,375,0.9989333333333333,0.8239663707028344,0.8247149357180662,0.7343999999999999,0.7350814814814816,0.04355196339316219,0.0426951732697054,0.008266666666666667
qarca_no_quality_original,stream,0.5,375,375,0.9893333333333333,0.7640709594371159,0.7717532056682509,0.6581333333333333,0.6658857142857143,0.06792923348447716,0.0598305147377192,0.0056
qarca_original_train,burst,0.1,375,375,1.0,0.8232163050561261,0.8232163050561261,0.7325333333333333,0.7325333333333333,0.04291659176856107,0.04291659176856107,0.010933333333333333
qarca_original_train,burst,0.3,375,375,1.0,0.7819996608764135,0.7819996608764135,0.6786666666666666,0.6786666666666666,0.05909308825775523,0.05909308825775523,0.010133333333333333
qarca_original_train,burst,0.5,375,375,1.0,0.5298923231527989,0.5298923231527989,0.3176,0.3176,0.09144641941890741,0.09144641941890741,0.012
qarca_original_train,incident,0.1,375,375,1.0,0.44935642970580836,0.44935642970580836,0.3565333333333333,0.3565333333333333,0.2647665640127756,0.2647665640127756,0.023466666666666667
qarca_original_train,incident,0.3,375,375,1.0,0.1209590739798471,0.1209590739798471,0.024266666666666666,0.024266666666666666,0.5277465351917713,0.5277465351917713,0.08906666666666667
qarca_original_train,incident,0.5,375,375,1.0,0.13487722236093205,0.13487722236093205,0.024533333333333338,0.024533333333333338,0.4833902023094876,0.4833902023094876,0.06506666666666666
qarca_original_train,none,0.0,375,375,1.0,0.8621538114059853,0.8621538114059853,0.792,0.792,0.02905032938076416,0.02905032938076416,0.010666666666666666
qarca_original_train,point,0.1,375,375,1.0,0.8652644860453557,0.8652644860453557,0.7957333333333333,0.7957333333333333,0.02809020641194554,0.02809020641194554,0.0104
qarca_original_train,point,0.3,375,375,1.0,0.8648576785173717,0.8648576785173717,0.7954666666666667,0.7954666666666667,0.028013350900307415,0.028013350900307415,0.010133333333333333
