mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
point,0.3,qarca_no_incident_train,375,0.8920061903957556,0.24346704259268104,0.9227733333333333,0.8354666666666667,0.9357333333333333,0.9802666666666667,0.024640667545015368,570.9325629862026,0.299999954555718,0.012572584017491006
point,0.3,qarca_no_quality,375,0.8990901697497349,0.24065593287056003,0.9254933333333334,0.8490666666666666,0.9391999999999999,0.9698666666666667,0.02538533157663592,570.7659387460288,0.299999954555718,0.012427418935649187
point,0.3,qarca_no_quality_original,375,0.8717971195755084,0.2649554756391942,0.9072533333333334,0.8056000000000001,0.9216000000000001,0.9730666666666666,0.026708739569609133,570.7340502391725,0.299999954555718,0.013682241928494187
point,0.3,qarca_original_train,375,0.8648576785173717,0.2667818779160569,0.90272,0.7954666666666667,0.9184,0.9703999999999999,0.028013350900307415,571.0081000794502,0.299999954555718,0.013776556936517715
point,0.3,qarca_quality_only,375,0.3338279447090109,0.26742685363547575,0.3412266666666667,0.16853333333333334,0.34,0.5157333333333334,0.22570036695786633,570.4046197066084,0.299999954555718,0.01380986333945128
point,0.3,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,570.2716148534014,0.299999954555718,0.013295791806278214
point,0.5,baro,375,0.5276677184691888,0.37616609710594145,0.57408,0.36719999999999997,0.5842666666666666,0.7392,0.08520272086626035,406.77676402685853,0.5000000599789933,0.019425133726655375
point,0.5,median_shift,375,0.5003729942608225,0.3546257637547422,0.5818133333333334,0.3024,0.6413333333333333,0.7394666666666667,0.08745921563229583,110.639831066768,0.5000000599789933,0.018312795695442696
point,0.5,nsigma,375,0.761352508833895,0.310984134336585,0.8429866666666667,0.6168,0.8874666666666667,0.9690666666666666,0.0313386736934563,338.42584061374265,0.5000000599789933,0.01605915164293765
point,0.5,qarca,375,0.8990029813986335,0.2293014706402783,0.9274666666666667,0.8450666666666666,0.9389333333333334,0.9778666666666667,0.023398506807202457,2443.1945563202103,0.5000000599789933,0.011841077027342224
point,0.5,qarca_no_incident_train,375,0.8929642512399033,0.23926790330031372,0.9244266666666667,0.8354666666666667,0.9391999999999999,0.9789333333333334,0.023814229249011856,2442.8020508533655,0.5000000599789933,0.012355741396854423
point,0.5,qarca_no_quality,375,0.9008142735052199,0.23503327934106158,0.92544,0.8525333333333333,0.9365333333333333,0.9693333333333334,0.024607905138339915,2442.6230352263433,0.5000000599789933,0.012137066355899296
point,0.5,qarca_no_quality_original,375,0.8746230857387378,0.2603610900818906,0.9096533333333333,0.8096000000000001,0.9234666666666667,0.9730666666666666,0.025568467281510753,2442.5964809857464,0.5000000599789933,0.013444988878500952
