method,mechanism,rate,incidents,mean_ms,median_ms,p95_ms
qarca_quality_only,burst,0.5,375,1791.5723779462433,596.2822700152174,1686.1451470066095
qarca_quality_only,incident,0.1,375,539.1903670135109,578.8735600188375,1680.6119570025478
qarca_quality_only,incident,0.3,375,550.9369606125324,602.8745899908245,1665.0510859925998
qarca_quality_only,incident,0.5,375,561.186455332938,605.4914800042752,1701.388875003904
qarca_quality_only,none,0.0,375,581.689995468439,572.5587000488304,1653.4780900343321
qarca_quality_only,point,0.1,375,574.4793400526512,580.0303399795666,1728.7903060030658
qarca_quality_only,point,0.3,375,570.4046197066084,581.4327800064348,1687.2711760055972
qarca_quality_only,point,0.5,375,2442.2814663461877,595.3444500162732,1726.264735996374
qarca_quality_only,stream,0.1,375,516.1481246394261,546.4209600293543,1573.2580789824715
qarca_quality_only,stream,0.3,375,447.3623287196271,477.3107500048354,1375.4271329945186
qarca_quality_only,stream,0.5,375,387.5621097077771,424.8322000086773,1176.8968350044452
qarca_structural_only,burst,0.1,375,1801.844386933713,573.8494100049138,1665.0995719974162
qarca_structural_only,burst,0.3,375,938.7435125056033,592.6343600091059,1721.7513259971747
qarca_structural_only,burst,0.5,375,1791.4332245060089,596.4969999913592,1686.1442210146924
qarca_structural_only,incident,0.1,375,539.0401714664108,578.7695500126574,1680.3313580068063
qarca_structural_only,incident,0.3,375,550.7933845319629,603.3061699883547,1665.1926899980754
qarca_structural_only,incident,0.5,375,561.0093149598532,604.705379990628,1700.9783239959506
qarca_structural_only,none,0.0,375,581.4196701343171,572.197999979835,1653.1664800189903
qarca_structural_only,point,0.1,375,574.3030472784613,580.1253199926578,1728.5379340033978
qarca_structural_only,point,0.3,375,570.2716148534014,581.1511600099038,1687.3106840008404
qarca_structural_only,point,0.5,375,2442.14370738538,595.1079899969045,1726.1287199851358
qarca_structural_only,stream,0.1,375,516.0087631465557,546.2310000089929,1573.1293570046546
qarca_structural_only,stream,0.3,375,447.2225633597778,477.22202001023106,1375.238635999267
qarca_structural_only,stream,0.5,375,387.4121614137975,424.514000013005,1176.7087980074575
