system,case_id,method,mechanism,auc
OB,OB/adservice_delay/3,qarca,point,1.0
OB,OB/adservice_delay/3,qarca_no_incident_train,point,1.0
OB,OB/adservice_delay/3,qarca_no_quality,point,1.0
OB,OB/adservice_delay/3,qarca_no_quality_original,point,1.0
OB,OB/adservice_delay/3,qarca_original_train,point,1.0
OB,OB/adservice_delay/3,qarca_quality_only,point,0.24874603174603171
OB,OB/adservice_delay/3,qarca_structural_only,point,0.1
OB,OB/adservice_delay/4,baro,point,1.0
OB,OB/adservice_delay/4,median_shift,point,1.0
OB,OB/adservice_delay/4,nsigma,point,1.0
OB,OB/adservice_delay/4,qarca,point,1.0
OB,OB/adservice_delay/4,qarca_no_incident_train,point,1.0
OB,OB/adservice_delay/4,qarca_no_quality,point,1.0
OB,OB/adservice_delay/4,qarca_no_quality_original,point,1.0
OB,OB/adservice_delay/4,qarca_original_train,point,1.0
OB,OB/adservice_delay/4,qarca_quality_only,point,0.23403174603174604
OB,OB/adservice_delay/4,qarca_structural_only,point,0.1
OB,OB/adservice_delay/5,baro,point,1.0
OB,OB/adservice_delay/5,median_shift,point,1.0
OB,OB/adservice_delay/5,nsigma,point,1.0
OB,OB/adservice_delay/5,qarca,point,1.0
OB,OB/adservice_delay/5,qarca_no_incident_train,point,1.0
OB,OB/adservice_delay/5,qarca_no_quality,point,1.0
OB,OB/adservice_delay/5,qarca_no_quality_original,point,1.0
OB,OB/adservice_delay/5,qarca_original_train,point,1.0
OB,OB/adservice_delay/5,qarca_quality_only,point,0.19474999999999998
OB,OB/adservice_delay/5,qarca_structural_only,point,0.1
OB,OB/adservice_disk/1,baro,point,1.0
OB,OB/adservice_disk/1,median_shift,point,1.0
OB,OB/adservice_disk/1,nsigma,point,1.0
OB,OB/adservice_disk/1,qarca,point,1.0
OB,OB/adservice_disk/1,qarca_no_incident_train,point,1.0
OB,OB/adservice_disk/1,qarca_no_quality,point,1.0
OB,OB/adservice_disk/1,qarca_no_quality_original,point,1.0
OB,OB/adservice_disk/1,qarca_original_train,point,1.0
OB,OB/adservice_disk/1,qarca_quality_only,point,0.9716666666666667
OB,OB/adservice_disk/1,qarca_structural_only,point,1.0
OB,OB/adservice_disk/2,baro,point,0.48
OB,OB/adservice_disk/2,median_shift,point,1.0
OB,OB/adservice_disk/2,nsigma,point,0.5
OB,OB/adservice_disk/2,qarca,point,1.0
OB,OB/adservice_disk/2,qarca_no_incident_train,point,1.0
OB,OB/adservice_disk/2,qarca_no_quality,point,1.0
OB,OB/adservice_disk/2,qarca_no_quality_original,point,1.0
OB,OB/adservice_disk/2,qarca_original_train,point,1.0
OB,OB/adservice_disk/2,qarca_quality_only,point,0.96
OB,OB/adservice_disk/2,qarca_structural_only,point,1.0
OB,OB/adservice_disk/3,baro,point,1.0
OB,OB/adservice_disk/3,median_shift,point,0.3916666666666666
OB,OB/adservice_disk/3,nsigma,point,1.0
OB,OB/adservice_disk/3,qarca,point,1.0
OB,OB/adservice_disk/3,qarca_no_incident_train,point,1.0
OB,OB/adservice_disk/3,qarca_no_quality,point,1.0
OB,OB/adservice_disk/3,qarca_no_quality_original,point,1.0
OB,OB/adservice_disk/3,qarca_original_train,point,1.0
OB,OB/adservice_disk/3,qarca_quality_only,point,0.94
OB,OB/adservice_disk/3,qarca_structural_only,point,1.0
OB,OB/adservice_disk/4,baro,point,1.0
OB,OB/adservice_disk/4,median_shift,point,1.0
OB,OB/adservice_disk/4,nsigma,point,0.5
OB,OB/adservice_disk/4,qarca,point,1.0
OB,OB/adservice_disk/4,qarca_no_incident_train,point,1.0
OB,OB/adservice_disk/4,qarca_no_quality,point,1.0
OB,OB/adservice_disk/4,qarca_no_quality_original,point,1.0
OB,OB/adservice_disk/4,qarca_original_train,point,1.0
