system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,incident,0.1,qarca,125,0.9037866666666666,0.23144535495392668,0.93456,0.8488,0.9352,0.9967999999999999,0.02726666666666666,52.47588367881254,0.10000016523843418,0.02070110187014191
OB,incident,0.1,qarca_no_incident_train,125,0.846567619047619,0.28107822078622724,0.8860800000000001,0.7656000000000001,0.8936000000000001,0.9648,0.051733333333333326,52.23729832088575,0.10000016523843418,0.02514040034690794
OB,incident,0.1,qarca_no_quality,125,0.8314219047619048,0.28233266359859827,0.876,0.744,0.8807999999999999,0.9728,0.05346666666666666,52.05753135955892,0.10000016523843418,0.025252601123001844
OB,incident,0.1,qarca_no_quality_original,125,0.8461387301587301,0.28733847393428197,0.8819199999999999,0.772,0.8864,0.96,0.05586666666666666,52.05631216051988,0.10000016523843418,0.025700334410724234
OB,incident,0.1,qarca_original_train,125,0.4613940281940282,0.38547723523416105,0.46576,0.3352,0.4704,0.576,0.369289592760181,52.271830721199514,0.10000016523843418,0.03447813207049045
OB,incident,0.1,qarca_quality_only,125,0.7868038095238095,0.27507933246349625,0.8689600000000001,0.64,0.9248,0.9688,0.055333333333333325,51.81580895986408,0.10000016523843418,0.02460384346374569
OB,incident,0.1,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,51.697405360266565,0.10000016523843418,0.01626035484806362
OB,incident,0.3,baro,125,0.3319656965256965,0.29244838968484743,0.32512,0.1696,0.3216,0.48640000000000005,0.40589441930618403,70.7626975201536,0.29999978859677606,0.026157379169826685
OB,incident,0.3,median_shift,125,0.4057149472749472,0.2970233184484262,0.44160000000000005,0.22,0.464,0.6224,0.32338793363499246,13.40298839933239,0.29999978859677606,0.026566573238129935
OB,incident,0.3,nsigma,125,0.38346694416694416,0.31742541863697793,0.39616,0.21680000000000002,0.404,0.56,0.35693544494720963,58.3598254411947,0.29999978859677606,0.02839139255434445
OB,incident,0.3,qarca,125,0.8577466666666667,0.25908996513922006,0.9067200000000001,0.772,0.9312,0.9912000000000001,0.03886666666666666,52.83678816026077,0.29999978859677606,0.02317371097357387
OB,incident,0.3,qarca_no_incident_train,125,0.574815873015873,0.3457602600498763,0.6163200000000001,0.4184,0.636,0.776,0.18330437405731523,52.58033783910796,0.29999978859677606,0.03092573781558113
OB,incident,0.3,qarca_no_quality,125,0.5191339682539682,0.3207585184696681,0.57952,0.3352,0.6103999999999999,0.7687999999999999,0.20647993966817496,52.41330736037344,0.29999978859677606,0.028689514066411983
OB,incident,0.3,qarca_no_quality_original,125,0.5119997113997113,0.34922718665055275,0.53376,0.36160000000000003,0.5544,0.6784,0.2418711915535445,52.39961839946918,0.29999978859677606,0.03123582915766572
OB,incident,0.3,qarca_original_train,125,0.14106339216339214,0.19566731115240446,0.06559999999999999,0.0464,0.068,0.08,0.800294419306184,52.638012560270724,0.29999978859677606,0.017501016348455162
OB,incident,0.3,qarca_quality_only,125,0.8698133333333333,0.242371720495724,0.92752,0.7792,0.9576,1.0,0.03019999999999999,52.169163999892774,0.29999978859677606,0.021678385714080716
OB,incident,0.3,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,52.05489463922568,0.29999978859677606,0.01626035484806362
OB,incident,0.5,baro,125,0.2130869819069819,0.14820293866414488,0.18112,0.0504,0.1784,0.316,0.5250021116138763,69.5897981595248,0.5000001190736444,0.013255673812730392
OB,incident,0.5,median_shift,125,0.3250814341214341,0.23857753556885475,0.33536,0.1504,0.3488,0.4952,0.41274630467571644,13.182222880190238,0.5000001190736444,0.021339023497453327
OB,incident,0.5,nsigma,125,0.25008216894216895,0.20590640640598376,0.22736,0.0848,0.2304,0.37039999999999995,0.4798533936651584,57.87053280007094,0.5000001190736444,0.018416828869059113
