system,fault,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,cpu,point,0.5,qarca_no_incident_train,25,0.9520000000000001,0.14177446878757824,0.9808,0.904,1.0,1.0,0.007999999999999997,46.497367998352274,0.5,0.028354893757515647
OB,cpu,point,0.5,qarca_no_quality,25,0.9540000000000001,0.13533908033774525,0.9815999999999999,0.9079999999999999,1.0,1.0,0.007666666666666664,46.31962599768303,0.5,0.02706781606754905
OB,cpu,point,0.5,qarca_no_quality_original,25,0.9540000000000001,0.1398809017223819,0.9815999999999999,0.9079999999999999,1.0,1.0,0.007666666666666664,46.327436797786504,0.5,0.02797618034447638
OB,cpu,point,0.5,qarca_original_train,25,0.9540000000000001,0.1398809017223819,0.9815999999999999,0.9079999999999999,1.0,1.0,0.007666666666666664,46.53568399953656,0.5,0.02797618034447638
OB,cpu,point,0.5,qarca_quality_only,25,0.2350906204906205,0.07144773292666198,0.2232,0.04800000000000001,0.196,0.424,0.4178823529411765,46.118487196974456,0.5,0.014289546585332397
OB,cpu,point,0.5,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,46.00212599686347,0.5,0.0
OB,cpu,stream,0.1,baro,25,0.8671731601731603,0.1783299731872602,0.9264,0.764,0.9640000000000001,0.9840000000000001,0.03433333333333333,57.92764679854736,0.10148859543817525,0.03566599463745204
OB,cpu,stream,0.1,median_shift,25,0.7889444444444444,0.2371465856520387,0.8992,0.608,0.9840000000000001,0.988,0.04566666666666665,10.675356799270958,0.10148859543817525,0.04742931713040774
OB,cpu,stream,0.1,nsigma,25,0.8507414141414141,0.20844302016093233,0.9192,0.74,0.972,0.992,0.03633333333333332,48.55573119968176,0.10148859543817525,0.041688604032186466
OB,cpu,stream,0.1,qarca,25,0.9353333333333333,0.13207478941872292,0.9712000000000001,0.8759999999999999,0.992,1.0,0.011999999999999995,44.7892931997776,0.10148859543817525,0.026414957883744584
OB,cpu,stream,0.1,qarca_no_incident_train,25,0.9373333333333334,0.12777294676857823,0.9712000000000001,0.88,0.996,0.996,0.011999999999999995,44.53891640040092,0.10148859543817525,0.025554589353715646
OB,cpu,stream,0.1,qarca_no_quality,25,0.9263666666666667,0.13553710029197008,0.9623999999999999,0.8640000000000001,0.988,0.992,0.01766666666666666,44.39833800122142,0.10148859543817525,0.027107420058394015
OB,cpu,stream,0.1,qarca_no_quality_original,25,0.9091333333333332,0.13727938530467573,0.9520000000000001,0.8320000000000001,0.98,0.9840000000000001,0.02266666666666666,44.383477199822664,0.10148859543817525,0.027455877060935146
